ParticipantIdentifier,Age,Low Start/High Start,Clump/Even,NativeSpeaker,EngAoA,Bilingual,Gender,WorkerType,TimeToCompletion,CompletionDate,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,File,Task Condition,Fit type
yoKHdBstVQbTeCta1MWo,56,High Start,Even,1,unknown,0,male,turker,18,20/07/2020,0.426848844389718,0.35,0.5,0.541295501884059,0.055536129647207,1.07916045171083,0.79885162519737,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\yBx39cGei0nxtXOlVGVP_responses.xlsx,Sheet1,Conf
vftJ9uoivugqTtm9pkgV,31,High Start,Even,1,unknown,0,male,turker,30,20/07/2020,0.515511556395597,0.4,0.6,0.837364530565428,0.218568307738778,1.35891047518772,0.865849821475183,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\vftJ9uoivugqTtm9pkgV_responses.xlsx,Sheet1,Conf
EXJFBqlx1netrbC8Jybc,30,High Start,Clump,1,unknown,1,male,turker,13,20/07/2020,0.043211945169342,0,0.4,0.445525106688401,3.7014053578244E-05,0.695937897204131,0.639895316161589,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\EXJFBqlx1netrbC8Jybc_responses.xlsx,Sheet1,Conf
ji68n8xaRYeYS8N5639V,29,High Start,Even,1,unknown,0,male,turker,35,20/07/2020,0.372506023633526,0.075,0.45,2.5433595777519,2.10966687198314,3.0131153318772,0.97737560389912,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\ji68n8xaRYeYS8N5639V_responses.xlsx,Sheet1,Conf
yOT21Il3PSr3kCXq1INt,28,High Start,Even,1,unknown,0,male,turker,22,20/07/2020,0.488846806776582,0,0.7,0.873413296398188,0.184736789603682,1.57009727381523,0.862795618042377,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\yOT21Il3PSr3kCXq1INt_responses.xlsx,Sheet1,Conf
BhuXxSlAESArmyCtFEyf,45,High Start,Clump,1,unknown,0,male,turker,20,20/07/2020,0.403066151800416,0,0.5,0.073344419095452,1.74339655137685E-05,0.684163186432506,0.713877784126762,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\BhuXxSlAESArmyCtFEyf_responses.xlsx,Sheet1,Conf
fLVLDMAxrDiqOTRg1WYl,35,High Start,Clump,1,unknown,1,female,turker,26,20/07/2020,0.251974877844013,0,0.35,0.035338709360477,2.30707247381239E-05,0.519127409220579,0.633443278155416,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\fLVLDMAxrDiqOTRg1WYl_responses.xlsx,Sheet1,Conf
oXNCXYu9aEBTI5JwWCD7,44,High Start,Clump,1,unknown,0,female,turker,17,20/07/2020,0.123281962035503,0,0.25,0.443084554068683,0.081795387557133,0.792626249860744,0.669456578916206,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\oXNCXYu9aEBTI5JwWCD7_responses.xlsx,Sheet1,Conf
S8WNKUTTCGRcc2uVaWVc,39,High Start,Clump,1,unknown,0,female,turker,11,20/07/2020,0.275204474451129,0,0.4,1.00102223724958,0.513073313451077,1.55787467440662,0.82639267128116,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\S8WNKUTTCGRcc2uVaWVc_responses.xlsx,Sheet1,Conf
yeySjRDpegf6A34FEOqD,30,High Start,Clump,1,unknown,1,male,turker,16,20/07/2020,0.108229087037815,0,0.3,0.08833070832843,0,0.429260390544397,0.576320617608823,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\yeySjRDpegf6A34FEOqD_responses.xlsx,Sheet1,Conf
