"","ParticipantIdentifier","Age","ClumpCondition","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"47","3xlH1Ex0a18FKDf7JPIa",29,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","male",31,"6/14/2021","../data/3xlH1Ex0a18FKDf7JPIa_responses_words.xlsx","HiFreq",0.669353028542901,0.629289941908891,4.07160508992773e-05,0.75127975174416,0.199715521406488,8.14410520233473e-05,1.40299201478065,0.835400007396856,-297.19076312021,"High","Clumped"
"48","3xlH1Ex0a18FKDf7JPIa",29,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","male",31,"6/14/2021","../data/3xlH1Ex0a18FKDf7JPIa_responses_words.xlsx","AllFreq",0.676887276590151,0.402558155347988,4.07271571773383e-05,0.683627654188246,0.864462209472084,8.16152249752044e-05,1.489979526007,0.838203277289722,-383.230912737989,"High","Clumped"
"49","4DaxKW7TRCkDwlrK40sO",26,"clumped","low_clumped_wordsFirst","TRUE","unknown","FALSE","male",22,"6/3/2021","../data/4DaxKW7TRCkDwlrK40sO_responses_words.xlsx","LoFreq",0.649440235391921,0.381211756343178,0.100057067785732,0.545133871878494,0.846712981589186,8.14945496971603e-05,1.47005392529207,0.829854763278945,-176.08265097379,"Low","Clumped"
"50","4DaxKW7TRCkDwlrK40sO",26,"clumped","low_clumped_wordsFirst","TRUE","unknown","FALSE","male",22,"6/3/2021","../data/4DaxKW7TRCkDwlrK40sO_responses_words.xlsx","HiFreq",0.532804260355078,0.0303246073503018,4.06934379705212e-05,0.12531246272378,0.36583133820346,8.14220838596791e-05,0.749138647034872,0.61405905113179,-149.175597342961,"Low","Clumped"
"51","4DaxKW7TRCkDwlrK40sO",26,"clumped","low_clumped_wordsFirst","TRUE","unknown","FALSE","male",22,"6/3/2021","../data/4DaxKW7TRCkDwlrK40sO_responses_words.xlsx","AllFreq",0.587059949170452,0.205930069706558,0.0557655156903136,0.310922997306387,0.563201646412537,0.0680791628992592,0.987920075521928,0.725764826968316,-263.453338494339,"Low","Clumped"
"52","4s3VLFn7UYfguOadyfyF",39,"even","low_even_picsFirst","TRUE","unknown","FALSE","female",25,"6/23/2021","../data/4s3VLFn7UYfguOadyfyF_responses_words.xlsx","LoFreq",0.691597808513507,0.45979413565784,4.07069158348136e-05,0.863966853300731,1.13910213199472,8.14415844070964e-05,1.91164679743519,0.886105699780728,-205.285806444459,"Low","Even"
"53","4s3VLFn7UYfguOadyfyF",39,"even","low_even_picsFirst","TRUE","unknown","FALSE","female",25,"6/23/2021","../data/4s3VLFn7UYfguOadyfyF_responses_words.xlsx","HiFreq",0.691597808513507,0.706581873227329,4.07817890729565e-05,0.827824845993462,0.169349094618303,8.14890459414029e-05,1.54855677749371,0.867214089247227,-216.579761164629,"Low","Even"
"54","4s3VLFn7UYfguOadyfyF",39,"even","low_even_picsFirst","TRUE","unknown","FALSE","female",25,"6/23/2021","../data/4s3VLFn7UYfguOadyfyF_responses_words.xlsx","AllFreq",0.691597808513507,0.668952648420723,4.07262285743965e-05,0.825142492222337,0.508307897167247,8.14503392516794e-05,1.61971788612255,0.88084605015365,-262.762480100417,"Low","Even"
"55","5a8WVoPvxwEFwgkkkoDN",43,"even","high_even_picsFirst","TRUE","unknown","TRUE","male",28,"5/24/2021","../data/5a8WVoPvxwEFwgkkkoDN_responses_words.xlsx","LoFreq",0.55476746718341,0.231474980981332,4.07246446772512e-05,0.372919638193139,0,8.1441717029792e-05,0.538935421899562,0.615698488149064,-339.052109082963,"High","Even"
"56","5a8WVoPvxwEFwgkkkoDN",43,"even","high_even_picsFirst","TRUE","unknown","TRUE","male",28,"5/24/2021","../data/5a8WVoPvxwEFwgkkkoDN_responses_words.xlsx","HiFreq",0.526111894302176,0,4.09577905924204e-05,0.1862607288907,0.150329386121383,3.13384721580352e-05,0.387746373733339,0.542284012268738,-330.165388715394,"High","Even"
"57","5a8WVoPvxwEFwgkkkoDN",43,"even","high_even_picsFirst","TRUE","unknown","TRUE","male",28,"5/24/2021","../data/5a8WVoPvxwEFwgkkkoDN_responses_words.xlsx","AllFreq",0.54006868187389,0,4.07336126716629e-05,0.240952454756269,0.238943264039076,8.14174767115888e-05,0.431104163867749,0.567033201008144,-446.776086620016,"High","Even"
"58","5ex0fCDU9N6CShKETsYf",25,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","female",34,"6/16/2021","../data/5ex0fCDU9N6CShKETsYf_responses_words.xlsx","LoFreq",0.463495709862855,0,6.60408543905442e-05,0.0537548442318313,0,3.13384721580352e-05,0.0992945974873355,0.499968328757859,-268.732515019322,"High","Clumped"
"59","5ex0fCDU9N6CShKETsYf",25,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","female",34,"6/16/2021","../data/5ex0fCDU9N6CShKETsYf_responses_words.xlsx","HiFreq",0.520332644936843,0,6.60408543905442e-05,0.071232240227716,0.0200332115449493,3.13384721580352e-05,0.285380818437445,0.505618036379019,-258.248541467023,"High","Clumped"
"60","5ex0fCDU9N6CShKETsYf",25,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","female",34,"6/16/2021","../data/5ex0fCDU9N6CShKETsYf_responses_words.xlsx","AllFreq",0.490381108876591,0,6.60408543905442e-05,0.0418046012309319,0,3.13384721580352e-05,0.11609402594413,0.499968328757859,-348.211541816268,"High","Clumped"
